관리코드,구,동,착공일,준공일,공사상태,지오코딩주소,도로,포장,공사유형,기본_위험도_레벨,기본_위험도_카테고리,현재_위험도_레벨,현재_위험도_카테고리,도로등급,영향반경_미터,안내_우선순위,안내_활성화_여부,안내_메시지,위도,경도,좌표상태
일반-210728-75,서초구,잠원동,2022-06-20,2022-08-31,완료,서울시 서초구 잠원동   잠원동112 ~ 잠원동   잠원동112,구도,보도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 잠원동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.5079,127.0034,API성공
일반-210527-84,용산구,동자동,2022-06-16,2022-08-14,완료,서울시 용산구 동자동   35-41 ~ 동자동   35-41부근,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 용산구 동자동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.5351,126.9879,구중심(용산구)
일반-210527-84,용산구,동자동,2022-06-16,2022-08-14,완료,서울시 용산구 동자동   19-87 ~ 동자동   19-87부근,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 용산구 동자동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.5295,126.9986,구중심(용산구)
일반-210907-41,관악구,봉천동,2022-06-15,2022-12-30,완료,서울시 관악구 봉천동   958-14 ~ 봉천동   958-14,기타,보도,통신,2,낮음,0.4,잔여위험,기타,30,3,False,✅ 관악구 봉천동 지역 통신 공사가 완료되었습니다.,37.4849,126.9366,API성공
인터넷-220604-01,종로구,이화동,2022-06-15,2022-06-19,완료,서울시 종로구 이화동   149 ~ 이화동   149,구도,차도/보도,상하수도,4,높음,0.8,잔여위험,소로,100,3,True,✅ 종로구 이화동 지역 상하수도 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.5773,127.0036,API성공
일반-210525-89,송파구,잠실동,2022-06-13,2022-07-31,완료,서울시 송파구 잠실동   183-4 ~ 잠실동   183-4,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 송파구 잠실동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.511,127.0841,API성공
일반-220527-35,종로구,홍지동,2022-06-13,2022-07-30,완료,서울시 종로구 홍지동   127-36 ~ 홍지동   127-36,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 종로구 홍지동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.5976,126.9591,API성공
일반-210416-80,강남구,대치동,2022-06-02,2022-06-30,완료,서울시 강남구 대치동   942-3 ~ 대치동   942-3,특별시도,보도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 강남구 대치동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.5058,127.0575,API성공
일반-210416-20,관악구,봉천동,2022-05-26,2022-12-30,완료,서울시 관악구 봉천동   912-26 ~ 봉천동   912-26,특별시도,보도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 관악구 봉천동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4823,126.9456,API성공
일반-210506-07,강남구,청담동,2022-05-26,2022-06-30,완료,서울시 강남구 청담동   77-39 ~ 청담동   77-39,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 강남구 청담동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.5228,127.0484,API성공
일반-210603-98,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-98,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,보도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-95,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-95,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,구도,보도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-95,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,보도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-93,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,차도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-92,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,차도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-90,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,차도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-72,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-72,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,보도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-77,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-77,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,구도,보도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-77,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,보도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-74,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,차도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-75,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,차도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-76,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,차도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-64,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,구도,차도,전력/전기,3,보통,0.6,잔여위험,소로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
일반-210603-64,서초구,서초동,2022-05-24,2022-11-30,완료,서울시 서초구 서초동   1573-5 ~ 서초동   1576-2,특별시도,보도,전력/전기,3,보통,0.6,잔여위험,대로,50,3,True,✅ 서초구 서초동 지역 전력/전기 공사가 완료되었습니다. 복구 상태를 확인하세요.,37.4933,127.0135,API성공
