날짜,위도,경도,자치구,방문자수
20230101,37.5091,127.0489,강남구,443
20230101,37.5612,127.1321,강동구,510
20230101,37.6589,127.009,강북구,457
20230101,37.5694,126.835,강서구,234
20230101,37.4445,126.9639,관악구,209
20230101,37.5515,127.0838,광진구,368
20230101,37.484,126.8254,구로구,728
20230101,37.4513,126.9246,금천구,540
20230101,37.6789,127.0607,노원구,380
20230101,37.6988,127.0155,도봉구,832
20230101,37.5105,126.9627,동작구,646
20230101,37.5554,126.9236,마포구,281
20230101,37.6076,126.947,서대문구,4
20230101,37.55,127.0802,서울대공원,0
20230101,37.4764,127.008,서초구,77
20230101,37.5483,127.0298,성동구,5
20230101,37.5111,127.0981,송파구,122
20230101,37.528,126.8619,양천구,555
20230101,37.5513,126.9882,용산구,0
20230101,37.6525,126.9479,은평구,8
20230101,37.5776,126.9769,종로구,10
20230101,37.5656,126.9749,중구,195
20230101,37.5898,127.0708,중랑구,277
20230102,37.5091,127.0489,강남구,106075
20230102,37.5612,127.1321,강동구,99662
20230102,37.6589,127.009,강북구,89343
20230102,37.5694,126.835,강서구,53630
20230102,37.4445,126.9639,관악구,28760
20230102,37.5515,127.0838,광진구,73635
20230102,37.484,126.8254,구로구,131746
20230102,37.4513,126.9246,금천구,101304
20230102,37.6789,127.0607,노원구,51635
20230102,37.6988,127.0155,도봉구,120956
20230102,37.5105,126.9627,동작구,120539
20230102,37.5554,126.9236,마포구,98101
20230102,37.6076,126.947,서대문구,5626
20230102,37.55,127.0802,서울대공원,5041
20230102,37.4764,127.008,서초구,54284
20230102,37.5483,127.0298,성동구,1834
20230102,37.5111,127.0981,송파구,23674
20230102,37.528,126.8619,양천구,98736
20230102,37.5513,126.9882,용산구,483
20230102,37.6525,126.9479,은평구,4700
20230102,37.5776,126.9769,종로구,5845
20230102,37.5656,126.9749,중구,72800
20230102,37.5898,127.0708,중랑구,44574
20230103,37.5091,127.0489,강남구,109680
20230103,37.5612,127.1321,강동구,99658
20230103,37.6589,127.009,강북구,88803
20230103,37.5694,126.835,강서구,53613
20230103,37.4445,126.9639,관악구,29614
20230103,37.5515,127.0838,광진구,76371
20230103,37.484,126.8254,구로구,130220
20230103,37.4513,126.9246,금천구,107623
20230103,37.6789,127.0607,노원구,51457
20230103,37.6988,127.0155,도봉구,118727
20230103,37.5105,126.9627,동작구,123901
20230103,37.5554,126.9236,마포구,100446
20230103,37.6076,126.947,서대문구,5692
20230103,37.55,127.0802,서울대공원,5845
20230103,37.4764,127.008,서초구,56720
20230103,37.5483,127.0298,성동구,2153
20230103,37.5111,127.0981,송파구,24305
20230103,37.528,126.8619,양천구,100400
20230103,37.5513,126.9882,용산구,487
20230103,37.6525,126.9479,은평구,4323
20230103,37.5776,126.9769,종로구,5123
20230103,37.5656,126.9749,중구,72629
20230103,37.5898,127.0708,중랑구,45286
20230104,37.5091,127.0489,강남구,113975
20230104,37.5612,127.1321,강동구,97979
20230104,37.6589,127.009,강북구,88710
20230104,37.5694,126.835,강서구,54270
20230104,37.4445,126.9639,관악구,29538
20230104,37.5515,127.0838,광진구,75125
20230104,37.484,126.8254,구로구,127810
20230104,37.4513,126.9246,금천구,104981
20230104,37.6789,127.0607,노원구,54033
20230104,37.6988,127.0155,도봉구,114711
20230104,37.5105,126.9627,동작구,142439
20230104,37.5554,126.9236,마포구,97190
20230104,37.6076,126.947,서대문구,6050
20230104,37.55,127.0802,서울대공원,6303
20230104,37.4764,127.008,서초구,58724
20230104,37.5483,127.0298,성동구,2482
20230104,37.5111,127.0981,송파구,25816
20230104,37.528,126.8619,양천구,100275
20230104,37.5513,126.9882,용산구,559
20230104,37.6525,126.9479,은평구,4879
20230104,37.5776,126.9769,종로구,5450
20230104,37.5656,126.9749,중구,73077
20230104,37.5898,127.0708,중랑구,45520
20230105,37.5091,127.0489,강남구,112966
20230105,37.5612,127.1321,강동구,101011
20230105,37.6589,127.009,강북구,91631
20230105,37.5694,126.835,강서구,56523
20230105,37.4445,126.9639,관악구,30497
20230105,37.5515,127.0838,광진구,75593
20230105,37.484,126.8254,구로구,131873
20230105,37.4513,126.9246,금천구,108462
20230105,37.6789,127.0607,노원구,53673
20230105,37.6988,127.0155,도봉구,119399
20230105,37.5105,126.9627,동작구,145339
20230105,37.5554,126.9236,마포구,103084
20230105,37.6076,126.947,서대문구,5947
20230105,37.55,127.0802,서울대공원,6058
20230105,37.4764,127.008,서초구,60489
20230105,37.5483,127.0298,성동구,2649
20230105,37.5111,127.0981,송파구,25661
20230105,37.528,126.8619,양천구,102649
20230105,37.5513,126.9882,용산구,600
20230105,37.6525,126.9479,은평구,4817
20230105,37.5776,126.9769,종로구,6803
20230105,37.5656,126.9749,중구,72064
20230105,37.5898,127.0708,중랑구,45183
20230106,37.5091,127.0489,강남구,125998
20230106,37.5612,127.1321,강동구,103608
20230106,37.6589,127.009,강북구,95355
20230106,37.5694,126.835,강서구,60419
20230106,37.4445,126.9639,관악구,32621
20230106,37.5515,127.0838,광진구,80081
20230106,37.484,126.8254,구로구,134780
20230106,37.4513,126.9246,금천구,107496
20230106,37.6789,127.0607,노원구,53339
20230106,37.6988,127.0155,도봉구,123182
20230106,37.5105,126.9627,동작구,159813
20230106,37.5554,126.9236,마포구,108631
20230106,37.6076,126.947,서대문구,6096
20230106,37.55,127.0802,서울대공원,5982
20230106,37.4764,127.008,서초구,65153
20230106,37.5483,127.0298,성동구,2906
20230106,37.5111,127.0981,송파구,29781
20230106,37.528,126.8619,양천구,106821
20230106,37.5513,126.9882,용산구,607
20230106,37.6525,126.9479,은평구,5133
20230106,37.5776,126.9769,종로구,13207
20230106,37.5656,126.9749,중구,75265
20230106,37.5898,127.0708,중랑구,47195
20230107,37.5091,127.0489,강남구,121774
20230107,37.5612,127.1321,강동구,101977
20230107,37.6589,127.009,강북구,91886
20230107,37.5694,126.835,강서구,53639
20230107,37.4445,126.9639,관악구,33861
20230107,37.5515,127.0838,광진구,79547
20230107,37.484,126.8254,구로구,129430
20230107,37.4513,126.9246,금천구,95046
20230107,37.6789,127.0607,노원구,51884
20230107,37.6988,127.0155,도봉구,119201
20230107,37.5105,126.9627,동작구,157122
20230107,37.5554,126.9236,마포구,110153
20230107,37.6076,126.947,서대문구,5214
20230107,37.55,127.0802,서울대공원,9056
20230107,37.4764,127.008,서초구,62632
20230107,37.5483,127.0298,성동구,4666
20230107,37.5111,127.0981,송파구,27836
20230107,37.528,126.8619,양천구,102427
20230107,37.5513,126.9882,용산구,685
20230107,37.6525,126.9479,은평구,4627
20230107,37.5776,126.9769,종로구,12562
20230107,37.5656,126.9749,중구,76346
20230107,37.5898,127.0708,중랑구,45357
20230108,37.5091,127.0489,강남구,97513
20230108,37.5612,127.1321,강동구,90901
20230108,37.6589,127.009,강북구,80246
20230108,37.5694,126.835,강서구,43960
20230108,37.4445,126.9639,관악구,30342
20230108,37.5515,127.0838,광진구,72100
20230108,37.484,126.8254,구로구,119787
20230108,37.4513,126.9246,금천구,81375
20230108,37.6789,127.0607,노원구,49350
20230108,37.6988,127.0155,도봉구,108001
20230108,37.5105,126.9627,동작구,140844
20230108,37.5554,126.9236,마포구,102001
20230108,37.6076,126.947,서대문구,5075
20230108,37.55,127.0802,서울대공원,11190
20230108,37.4764,127.008,서초구,36377
20230108,37.5483,127.0298,성동구,4062
20230108,37.5111,127.0981,송파구,25890
20230108,37.528,126.8619,양천구,92256
20230108,37.5513,126.9882,용산구,612
20230108,37.6525,126.9479,은평구,3586
20230108,37.5776,126.9769,종로구,15801
20230108,37.5656,126.9749,중구,69536
20230108,37.5898,127.0708,중랑구,43905
20230109,37.5091,127.0489,강남구,113233
20230109,37.5612,127.1321,강동구,105808
20230109,37.6589,127.009,강북구,94096
20230109,37.5694,126.835,강서구,56552
20230109,37.4445,126.9639,관악구,29952
20230109,37.5515,127.0838,광진구,78256
20230109,37.484,126.8254,구로구,131137
20230109,37.4513,126.9246,금천구,107481
20230109,37.6789,127.0607,노원구,54655
20230109,37.6988,127.0155,도봉구,119851
20230109,37.5105,126.9627,동작구,160674
20230109,37.5554,126.9236,마포구,105759
20230109,37.6076,126.947,서대문구,5704
20230109,37.55,127.0802,서울대공원,6675
20230109,37.4764,127.008,서초구,60834
20230109,37.5483,127.0298,성동구,2398
20230109,37.5111,127.0981,송파구,25502
20230109,37.528,126.8619,양천구,104169
20230109,37.5513,126.9882,용산구,569
20230109,37.6525,126.9479,은평구,5038
20230109,37.5776,126.9769,종로구,15938
20230109,37.5656,126.9749,중구,69116
20230109,37.5898,127.0708,중랑구,47274
20230110,37.5091,127.0489,강남구,121502
20230110,37.5612,127.1321,강동구,105250
20230110,37.6589,127.009,강북구,95106
20230110,37.5694,126.835,강서구,57589
20230110,37.4445,126.9639,관악구,30897
20230110,37.5515,127.0838,광진구,79381
20230110,37.484,126.8254,구로구,133161
20230110,37.4513,126.9246,금천구,109532
20230110,37.6789,127.0607,노원구,55632
20230110,37.6988,127.0155,도봉구,122900
20230110,37.5105,126.9627,동작구,158982
20230110,37.5554,126.9236,마포구,107475
20230110,37.6076,126.947,서대문구,6523
20230110,37.55,127.0802,서울대공원,7522
20230110,37.4764,127.008,서초구,63423
20230110,37.5483,127.0298,성동구,2802
20230110,37.5111,127.0981,송파구,26199
20230110,37.528,126.8619,양천구,107740
20230110,37.5513,126.9882,용산구,546
20230110,37.6525,126.9479,은평구,5471
20230110,37.5776,126.9769,종로구,16141
20230110,37.5656,126.9749,중구,62420
20230110,37.5898,127.0708,중랑구,47348
20230111,37.5091,127.0489,강남구,123045
20230111,37.5612,127.1321,강동구,104021
20230111,37.6589,127.009,강북구,95120
20230111,37.5694,126.835,강서구,57983
20230111,37.4445,126.9639,관악구,31527
20230111,37.5515,127.0838,광진구,79459
20230111,37.484,126.8254,구로구,132751
20230111,37.4513,126.9246,금천구,109289
20230111,37.6789,127.0607,노원구,53126
20230111,37.6988,127.0155,도봉구,123240
20230111,37.5105,126.9627,동작구,163858
20230111,37.5554,126.9236,마포구,106344
20230111,37.6076,126.947,서대문구,6120
20230111,37.55,127.0802,서울대공원,7048
20230111,37.4764,127.008,서초구,62883
20230111,37.5483,127.0298,성동구,2779
20230111,37.5111,127.0981,송파구,27102
20230111,37.528,126.8619,양천구,105755
20230111,37.5513,126.9882,용산구,643
20230111,37.6525,126.9479,은평구,5541
20230111,37.5776,126.9769,종로구,16096
20230111,37.5656,126.9749,중구,61843
20230111,37.5898,127.0708,중랑구,45187
20230112,37.5091,127.0489,강남구,121630
20230112,37.5612,127.1321,강동구,102392
20230112,37.6589,127.009,강북구,92624
20230112,37.5694,126.835,강서구,55551
20230112,37.4445,126.9639,관악구,30253
20230112,37.5515,127.0838,광진구,79038
20230112,37.484,126.8254,구로구,128693
20230112,37.4513,126.9246,금천구,105291
20230112,37.6789,127.0607,노원구,51036
20230112,37.6988,127.0155,도봉구,115457
20230112,37.5105,126.9627,동작구,156232
20230112,37.5554,126.9236,마포구,102348
20230112,37.6076,126.947,서대문구,6172
20230112,37.55,127.0802,서울대공원,8431
20230112,37.4764,127.008,서초구,65158
20230112,37.5483,127.0298,성동구,3355
20230112,37.5111,127.0981,송파구,26388
20230112,37.528,126.8619,양천구,105422
20230112,37.5513,126.9882,용산구,614
20230112,37.6525,126.9479,은평구,5510
20230112,37.5776,126.9769,종로구,17937
20230112,37.5656,126.9749,중구,64729
20230112,37.5898,127.0708,중랑구,45744
20230113,37.5091,127.0489,강남구,127205
20230113,37.5612,127.1321,강동구,101214
20230113,37.6589,127.009,강북구,91713
20230113,37.5694,126.835,강서구,57537
20230113,37.4445,126.9639,관악구,32227
20230113,37.5515,127.0838,광진구,80699
20230113,37.484,126.8254,구로구,129762
20230113,37.4513,126.9246,금천구,103599
20230113,37.6789,127.0607,노원구,50662
20230113,37.6988,127.0155,도봉구,116347
20230113,37.5105,126.9627,동작구,164641
20230113,37.5554,126.9236,마포구,105244
20230113,37.6076,126.947,서대문구,6171
20230113,37.55,127.0802,서울대공원,6978
20230113,37.4764,127.008,서초구,70355
20230113,37.5483,127.0298,성동구,3256
20230113,37.5111,127.0981,송파구,25853
20230113,37.528,126.8619,양천구,102378
20230113,37.5513,126.9882,용산구,583
20230113,37.6525,126.9479,은평구,6081
20230113,37.5776,126.9769,종로구,21807
20230113,37.5656,126.9749,중구,72557
20230113,37.5898,127.0708,중랑구,44278
20230114,37.5091,127.0489,강남구,126128
20230114,37.5612,127.1321,강동구,101726
20230114,37.6589,127.009,강북구,91902
20230114,37.5694,126.835,강서구,52660
20230114,37.4445,126.9639,관악구,34745
20230114,37.5515,127.0838,광진구,82620
20230114,37.484,126.8254,구로구,128009
20230114,37.4513,126.9246,금천구,94639
20230114,37.6789,127.0607,노원구,52542
20230114,37.6988,127.0155,도봉구,116986
20230114,37.5105,126.9627,동작구,160520
20230114,37.5554,126.9236,마포구,111649
20230114,37.6076,126.947,서대문구,5932
20230114,37.55,127.0802,서울대공원,16328
20230114,37.4764,127.008,서초구,61385
20230114,37.5483,127.0298,성동구,5316
20230114,37.5111,127.0981,송파구,27638
20230114,37.528,126.8619,양천구,103534
20230114,37.5513,126.9882,용산구,778
20230114,37.6525,126.9479,은평구,5369
20230114,37.5776,126.9769,종로구,24399
20230114,37.5656,126.9749,중구,75706
20230114,37.5898,127.0708,중랑구,43475
20230115,37.5091,127.0489,강남구,95619
20230115,37.5612,127.1321,강동구,93528
20230115,37.6589,127.009,강북구,82878
20230115,37.5694,126.835,강서구,45276
20230115,37.4445,126.9639,관악구,32191
20230115,37.5515,127.0838,광진구,72301
20230115,37.484,126.8254,구로구,121496
20230115,37.4513,126.9246,금천구,83069
20230115,37.6789,127.0607,노원구,49908
