날짜,위도,경도,피해규모점수,사고발생위치,발생원인구분,발생지역지질종류,발생규모폭(m),발생규모연장(m),발생규모깊이(m),피해사망자수(명),피해부상자수(명),피해차량대수(대),시군구,지점명,지번주소,도로명주소
20180301,37.5132,127.056,3.0,서울특별시 강남구 삼성동 147-2앞 (봉은사로 86길),기타매설물 손상,,3.0,4.0,1.5,0.0,0.0,0.0,,,,
20180304,37.5022,127.0965,2.0,서울특별시 송파구 삼전동 180-6 (백제고분로 272),상수관 손상,,1.0,2.0,0.5,0.0,0.0,0.0,,,,
20180311,37.4884,126.8835,2.0,서울특별시 구로구 구로동 723-16 (구로동로17길),기타매설물 손상,,0.4,0.4,1.0,0.0,0.0,0.0,,,,
20180313,37.5293,126.8948,2.0,서울특별시 영등포구 당산동4가 93-5 (국회대로 539),하수관 손상,,0.5,0.7,1.5,0.0,0.0,1.0,,,,
20180327,37.5357,126.8943,4.0,서울특별시 영등포구 양평동4가 23-2 (양평로19길 19),하수관 손상,,5.0,5.0,1.5,0.0,0.0,1.0,,,,
20180328,37.5201,126.9308,2.0,서울특별시 영등포구 여의도동 44-11 (의사당대로1길 34),하수관 손상,,0.3,0.3,1.0,0.0,0.0,0.0,,,,
20180425,37.6527,127.0423,2.0,서울특별시 도봉구 창동 316 (해등로12길),하수관 손상,,0.8,0.6,1.3,0.0,0.0,0.0,,,,
20180426,37.5017,127.0264,2.0,서울특별시 강남구 역삼동 814-6 (강남대로100길10),하수관 손상,,0.5,1.0,1.0,0.0,0.0,0.0,,,,
20180428,37.5231,126.9721,2.0,서울특별시 용산구 용산동5가 19-389 (파크타워 104동앞),하수관 손상,,0.5,0.5,1.0,0.0,0.0,1.0,,,,
20180624,37.4915,126.8942,2.0,서울특별시 구로구 구로동 126-28 (도림로 럭키아파트 인근),기타매설공사 부실,,0.2,0.2,1.0,0.0,0.0,0.0,,,,
20180717,37.5609,126.9937,4.0,서울특별시 중구 퇴계로 196 (충무로역 3번출구),상수관 손상,,5.0,5.0,1.5,0.0,0.0,0.0,,,,
20180815,37.5103,127.0219,2.0,서울특별시 강남구 논현동 280(강남대로 논현역 7번출구 앞),다짐(되메우기) 불량,,1.5,3.0,1.0,0.0,0.0,0.0,,,,
20180904,37.5808,126.9992,2.0,서울특별시 종로구 연건동 28-2(대학로 103),하수관 손상,,1.1,1.0,1.0,0.0,0.0,0.0,,,,
20180904,37.644,127.0157,2.0,서울특별시 강북구 수유동 313-49(삼양로 119길 1),하수관 손상,,1.5,1.5,1.0,0.0,0.0,0.0,,,,
20181202,37.5121,126.9405,2.0,서울특별시 동작구 노량진동 50-2앞 (노량진초교 앞),하수관 손상,,0.7,0.7,1.0,0.0,0.0,1.0,,,,
20181209,37.5615,126.8388,3.0,서울특별시 강서구 마곡동 793-7 (마곡지구 C17-2블록 공사장 앞 보도),하수관 손상,,1.5,3.0,3.0,0.0,0.0,0.0,,,,
20190424,37.543,126.8498,2.0,서울특별시 강서구 화곡동 50-120(거성빌라 입구),하수관 손상,,1.2,1.2,1.0,0.0,0.0,0.0,,,,
20190801,37.5688,126.9796,2.0,서울특별시 중구 무교로 32 효령빌딩 앞,하수관 손상,,1.0,4.0,1.0,0.0,0.0,0.0,,,,
20190804,37.5616,127.0312,4.0,서울특별시 성동구  왕십리2동975-1 (새마을금고앞),굴착공사 부실,,4.0,4.0,3.0,0.0,0.0,0.0,,,,
20190812,37.5652,127.047,2.0,서울특별시 성동구 사근동 293-4 앞,하수관 손상,,0.3,0.8,1.5,0.0,0.0,0.0,,,,
20190905,37.5246,126.9275,8.0,서울특별시 영등포구 국제금융로 24,굴착공사 부실,,5.0,5.0,5.0,0.0,0.0,0.0,,,,
20190909,37.4663,127.0346,2.0,서울특별시 서초구 양재동 203-10번지 앞,하수관 손상,,1.2,1.2,1.0,0.0,0.0,0.0,,,,
20190915,37.5255,126.9262,2.0,서울특별시 영등포구 여의도동 23-1,다짐(되메우기) 불량,,1.0,1.5,1.5,0.0,0.0,0.0,,,,
20191125,37.5589,126.8248,5.0,서울특별시 강서구 마곡동 798-7,굴착공사 부실,,4.0,4.0,4.0,0.0,0.0,0.0,,,,
20191222,37.5243,126.9264,7.0,서울특별시 영등포구 여의도동 25-1,굴착공사 부실,,1.5,2.5,2.5,1.0,0.0,0.0,,,,
20200108,37.4945,127.1233,2.0,서울특별시 송파구 가락동 122(경찰병원 사거리),다짐(되메우기) 불량,,1.0,1.0,0.3,0.0,0.0,0.0,,,,
