location_name,target_lat,target_lng,analysis_radius_km,nearby_construction_count,weighted_construction_risk,nearby_sinkhole_count,weighted_sinkhole_risk,avg_daily_visitors,total_daily_visitors,nearby_subway_stations,avg_subway_passengers,avg_rainfall,weighted_rainfall_risk,rainfall_amplification_factor,ongoing_construction_count,recent_sinkhole_count,population_density_score,total_subway_passengers,subway_congestion_risk,physical_risk_score,social_risk_score,final_risk_score,comprehensive_risk_level,comprehensive_risk_category,construction_rainfall_interaction,population_physical_interaction,subway_population_ratio,risk_density,activity_density,distance_from_center,total_infrastructure_risk,total_mobility_volume
4.19민주묘지역,37.6495,127.0137,0.2,0,0.0,1,0.19999999999999998,0.0,0,2463,6059.691027202599,0.0,0.0,1.0,0,0,0.0,14925019,0.12119382054405198,1.7999999999999998,1.454325846528624,1.679014046285018,매우낮음,최저위험,0.0,0.0,14925019.0,13.361169249349247,118769527.47952282,0.09035203373472739,1,14925019
가락시장역,37.4931,127.1183,0.2,0,0.0,17,0.8818959800487703,0.0,0,2463,32589.406414941128,0.0,0.0,1.0,0,0,0.0,80267708,0.6517881282988226,7.937063820438932,7.821457539585872,7.896601622140361,매우낮음,최저위험,0.0,0.0,80267708.0,62.83915908955588,638750124.9428436,0.15834029809244035,17,80267708
가산디지털단지역,37.4804,126.8827,0.2,2,1.0,0,0.0,0.0,0,2463,107026.06252537556,0.0,0.0,1.0,0,0,0.0,263605192,2.1405212505075113,12.0,25.686255006090136,16.790189252131547,낮음,하위험,0.0,0.0,263605192.0,133.61208074625745,2097703466.574407,0.12843402975846419,2,263605192
가양역,37.5614,126.8544,0.2,0,0.0,18,0.8383943258891868,0.0,0,2463,38790.53430775477,0.0,0.0,1.0,0,0,0.0,95541086,0.7758106861550955,7.5455489330026815,9.309728233861147,8.163011688303145,매우낮음,최저위험,0.0,0.0,95541086.0,64.95918303551818,760291805.2633939,0.12370517369940126,18,95541086
가오리역,37.6415,127.0168,0.2,0,0.0,1,1.0,0.0,0,2463,7719.689809175802,0.0,0.0,1.0,0,0,0.0,19013596,0.15439379618351604,9.0,1.8527255542021925,6.498453943970768,매우낮음,최저위험,0.0,0.0,19013596.0,51.71305338189852,151305389.46761444,0.08444193271118994,1,19013596
가좌역,37.5688,126.9148,0.2,0,0.0,2,0.2,0.0,0,2463,10143.793747462445,0.0,0.0,1.0,0,0,0.0,24984164,0.2028758749492489,1.7999999999999998,2.434510499390987,2.0220786747868456,매우낮음,최저위험,0.0,0.0,24984164.0,16.091190820651775,198817659.980929,0.0632418374179575,2,24984164
낙성대역,37.4771,126.9635,0.2,0,0.0,30,0.5523348469484566,0.0,0,2463,52351.57856272838,0.0,0.0,1.0,0,0,0.0,128941938,1.0470315712545675,4.971013622536109,12.564378855054809,7.628691453917654,매우낮음,최저위험,0.0,0.0,128941938.0,60.70719771069462,1026087340.2274348,0.09056826154895288,30,128941938
남구로역,37.4863,126.8874,0.2,0,0.0,29,1.0,0.0,0,2463,29081.35282176208,0.0,0.0,1.0,0,0,0.0,71627372,0.5816270564352416,9.0,6.9795246772229,8.292833637028014,매우낮음,최저위험,0.0,0.0,71627372.0,65.99227327858745,569992515.7241008,0.12099752063574992,29,71627372
남부터미널역,37.4852,127.0162,0.2,5,1.0,16,0.6087577357279855,0.0,0,2463,58892.37190418189,0.0,0.0,1.0,0,0,0.0,145051912,1.177847438083638,17.478819621551867,14.134169257003656,16.308191993959994,낮음,하위험,0.0,0.0,145051912.0,129.7764684365203,1154286439.9865305,0.08982722304513294,21,145051912
남성역,37.4848,126.9709,0.2,0,0.0,6,1.0,0.0,0,2463,20714.04953308973,0.0,0.0,1.0,0,0,0.0,51018704,0.4142809906617946,9.0,4.971371887941535,7.589980160779537,매우낮음,최저위험,0.0,0.0,51018704.0,60.39914302787409,405993946.5871126,0.08200792644616477,6,51018704
남영역,37.5406,126.9713,0.2,0,0.0,18,0.8330507238900081,0.0,0,2463,18974.99959399107,0.0,0.0,1.0,0,0,0.0,46735424,0.3794999918798214,7.497456515010073,4.553999902557857,6.467246700651797,매우낮음,최저위험,0.0,0.0,46735424.0,51.46471403017423,371908687.35477996,0.02675256997000354,18,46735424
남태령역,37.4642,126.9891,0.2,0,0.0,5,0.670543973875513,0.0,0,2463,2690.5501421031263,0.0,0.0,1.0,0,0,0.0,6626825,0.05381100284206253,6.034895764879617,0.6457320341047503,4.148688459108414,매우낮음,최저위험,0.0,0.0,6626825.0,33.01421378077013,52734597.787747465,0.10290043731685448,5,6626825
내방역,37.4877,126.9936,0.2,0,0.0,25,0.5473208319339209,0.0,0,2463,26246.13317092976,0.0,0.0,1.0,0,0,0.0,64644226,0.5249226634185952,4.925887487405288,6.2990719610231425,5.406502053171537,매우낮음,최저위험,0.0,0.0,64644226.0,43.02357632993656,514422405.51248103,0.08032932216818693,25,64644226
노들역,37.5127,126.9531,0.2,0,0.0,27,0.4917698376741302,0.0,0,2463,8246.055217214778,0.0,0.0,1.0,0,0,0.0,20310034,0.16492110434429558,4.425928539067172,1.9790532521315471,3.569522188639703,매우낮음,최저위험,0.0,0.0,20310034.0,28.40535503991048,161622115.27322295,0.05928279683010001,27,20310034
노량진역,37.5136,126.9409,0.2,0,0.0,23,0.6817673548899449,0.0,0,2463,69900.80349167682,3.6107431651906046,0.04113209247457349,1.0,0,0,0.0,172165679,1.3980160698335364,6.506095026280666,16.776192838002437,10.100629260383286,낮음,하위험,0.0,0.0,172165679.0,80.37825375643173,1370050942.1811259,0.06461284701976658,23,172165679
노원역,37.6563,127.0634,0.2,1,1.0,2,0.2,0.0,0,2463,83093.5347137637,0.0,0.0,1.0,0,0,0.0,204659376,1.661870694275274,13.8,19.942448331303286,15.949856915956152,낮음,하위험,0.0,0.0,204659376.0,126.92492848914372,1628627567.0251405,0.12392417036237079,3,204659376
녹번역,37.6008,126.9358,0.2,0,0.0,9,0.8015036776939756,0.0,0,2463,25941.53430775477,0.0,0.0,1.0,0,0,0.0,63893999,0.5188306861550954,7.21353309924578,6.2259682338611455,6.8678853963611575,매우낮음,최저위험,0.0,0.0,63893999.0,54.65289547097595,508452288.73793083,0.054381338710991815,9,63893999
녹사평역,37.5347,126.9865,0.2,1,1.0,22,0.6938749577552077,0.0,0,2463,10757.268777913114,0.0,0.0,1.0,0,0,0.0,26495153,0.21514537555826227,18.244874619796867,2.5817445066991476,12.762779080212667,낮음,하위험,0.0,0.0,26495153.0,101.56296891028396,210841728.396303,0.03291640928169432,23,26495153
녹천역,37.6446,127.0514,0.2,0,0.0,0,0.0,0.0,0,2463,8119.1628095818105,0.0,0.0,1.0,0,0,0.0,19997498,0.1623832561916362,0.0,1.9485990742996346,0.6820096760048721,매우낮음,최저위험,0.0,0.0,19997498.0,5.427260558633869,159135032.80851454,0.10717821607024831,0,19997498
논현역,37.5112,127.0217,0.2,0,0.0,17,0.6947216581771515,0.0,0,2463,35463.638652050344,0.0,0.0,1.0,0,0,0.0,87346942,0.7092727730410069,6.252494923594363,8.511273276492082,7.043067347108566,매우낮음,최저위험,0.0,0.0,87346942.0,56.046949141072496,695084879.1630541,0.07048248009257053,17,87346942
답십리역,37.567,127.0526,0.2,0,0.0,1,1.0,0.0,0,2463,28400.032886723508,0.0,0.0,1.0,0,0,0.0,69949281,0.5680006577344702,9.0,6.8160078928136425,8.235602762484774,매우낮음,최저위험,0.0,0.0,69949281.0,65.536844449536,556638691.8436998,0.07460167558440337,1,69949281
당고개역,37.6702,127.0791,0.2,0,0.0,9,0.20000000000000004,0.0,0,2463,20342.386520503453,0.0,0.0,1.0,0,0,0.0,50103298,0.40684773041006905,1.8000000000000003,4.882172764920829,2.87876046772229,매우낮음,최저위험,0.0,0.0,50103298.0,22.90844792077695,398709377.09531367,0.14482713834085517,9,50103298
당곡역,37.4902,126.9276,0.2,1,2.0,14,0.5469523355105504,0.0,0,1100,8440.907272727272,0.0,0.0,1.0,0,0,0.0,9284998,0.16881814545454546,28.922571019594955,2.0258177454545456,19.508707373645812,낮음,하위험,0.0,0.0,9284998.0,155.2453605924519,73887666.4149181,0.0914431517392038,15,9284998
