grid_id,center_lat,center_lng,active_construction_count,completed_construction_count,construction_density,avg_construction_risk,road_construction_ratio,utility_construction_ratio,construction_duration_avg,closest_district,rainfall_1day,rainfall_3day,rainfall_7day,rainfall_30day,heavy_rain_days,visitor_density,subway_passenger_density,population_variation,peak_population_ratio,risk_level,has_incident,risk_score,incident_count_500m,incident_count_1km,avg_damage_score,max_damage_score,incident_cause_diversity,date,month,quarter,is_rainy_season,day_of_year,construction_weather_interaction,population_construction_ratio,vulnerability_index
G_0000,37.402252,126.802841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0001,37.402252,126.808523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0002,37.402252,126.814205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0003,37.402252,126.819886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0004,37.402252,126.825568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0005,37.402252,126.83125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0006,37.402252,126.836932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,금천구,0.0,5.5,25.0,49.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0007,37.402252,126.842614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,금천구,0.0,5.5,25.0,49.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0008,37.402252,126.848295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,금천구,0.0,5.5,25.0,49.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0009,37.402252,126.853977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,금천구,0.0,5.5,25.0,49.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
