날짜,지역구,누적강수량,위도,경도
20250430,강남구,0.0,37.5173,127.0473
20250430,강동구,0.0,37.5301,127.1238
20250430,강북구,0.0,37.6396,127.0255
20250430,강서구,0.0,37.5509,126.8495
20250430,관악구,0.0,37.4781,126.9515
20250430,광진구,0.0,37.5385,127.0823
20250430,구로구,0.0,37.4955,126.8874
20250430,금천구,0.0,37.4569,126.8955
20250430,노원구,0.0,37.6544,127.0566
20250430,도봉구,0.0,37.6688,127.0471
20250430,동대문구,0.0,37.5744,127.0395
20250430,동작구,0.0,37.5124,126.9395
20250430,마포구,0.0,37.5663,126.9019
20250430,서대문구,0.0,37.5794,126.9368
20250430,서초구,0.0,37.4837,127.0324
20250430,성동구,0.0,37.5634,127.0369
20250430,성북구,0.0,37.5894,127.0167
20250430,송파구,0.0,37.5145,127.106
20250430,양천구,0.0,37.5168,126.8664
20250430,영등포구,0.0,37.5264,126.8962
20250430,용산구,0.0,37.5319,126.99
20250430,은평구,0.0,37.6027,126.9291
20250430,종로구,0.0,37.5735,126.9792
20250430,중구,0.0,37.564,126.9977
20250430,중랑구,0.0,37.6063,127.0925
20250429,강남구,0.0,37.5173,127.0473
20250429,강동구,0.0,37.5301,127.1238
20250429,강북구,0.0,37.6396,127.0255
20250429,강서구,0.0,37.5509,126.8495
20250429,관악구,0.0,37.4781,126.9515
20250429,광진구,0.0,37.5385,127.0823
20250429,구로구,0.0,37.4955,126.8874
20250429,금천구,0.0,37.4569,126.8955
20250429,노원구,0.0,37.6544,127.0566
20250429,도봉구,0.0,37.6688,127.0471
20250429,동대문구,0.0,37.5744,127.0395
20250429,동작구,0.0,37.5124,126.9395
20250429,마포구,0.0,37.5663,126.9019
20250429,서대문구,0.0,37.5794,126.9368
20250429,서초구,0.0,37.4837,127.0324
20250429,성동구,0.0,37.5634,127.0369
20250429,성북구,0.0,37.5894,127.0167
20250429,송파구,0.0,37.5145,127.106
20250429,양천구,0.0,37.5168,126.8664
20250429,영등포구,0.0,37.5264,126.8962
20250429,용산구,0.0,37.5319,126.99
20250429,은평구,0.0,37.6027,126.9291
20250429,종로구,0.0,37.5735,126.9792
20250429,중구,0.0,37.564,126.9977
20250429,중랑구,0.0,37.6063,127.0925
20250428,강남구,0.0,37.5173,127.0473
20250428,강동구,0.0,37.5301,127.1238
20250428,강북구,0.0,37.6396,127.0255
20250428,강서구,0.0,37.5509,126.8495
20250428,관악구,0.0,37.4781,126.9515
20250428,광진구,0.0,37.5385,127.0823
20250428,구로구,0.0,37.4955,126.8874
20250428,금천구,0.0,37.4569,126.8955
20250428,노원구,0.0,37.6544,127.0566
20250428,도봉구,0.0,37.6688,127.0471
20250428,동대문구,0.0,37.5744,127.0395
20250428,동작구,0.0,37.5124,126.9395
20250428,마포구,0.0,37.5663,126.9019
20250428,서대문구,0.0,37.5794,126.9368
20250428,서초구,0.0,37.4837,127.0324
20250428,성동구,0.0,37.5634,127.0369
20250428,성북구,0.0,37.5894,127.0167
20250428,송파구,0.0,37.5145,127.106
20250428,양천구,0.0,37.5168,126.8664
20250428,영등포구,0.0,37.5264,126.8962
20250428,용산구,0.0,37.5319,126.99
20250428,은평구,0.0,37.6027,126.9291
20250428,종로구,0.0,37.5735,126.9792
20250428,중구,0.0,37.564,126.9977
20250428,중랑구,0.0,37.6063,127.0925
20250427,강남구,0.0,37.5173,127.0473
20250427,강동구,0.0,37.5301,127.1238
20250427,강북구,0.0,37.6396,127.0255
20250427,강서구,0.0,37.5509,126.8495
20250427,관악구,0.0,37.4781,126.9515
20250427,광진구,0.0,37.5385,127.0823
20250427,구로구,0.0,37.4955,126.8874
20250427,금천구,0.0,37.4569,126.8955
20250427,노원구,0.0,37.6544,127.0566
20250427,도봉구,0.0,37.6688,127.0471
20250427,동대문구,0.0,37.5744,127.0395
20250427,동작구,0.0,37.5124,126.9395
20250427,마포구,0.0,37.5663,126.9019
20250427,서대문구,0.0,37.5794,126.9368
20250427,서초구,0.0,37.4837,127.0324
20250427,성동구,0.0,37.5634,127.0369
