"사업코드","사업명","준공여부구분","준공여부","계획공정율","실적공정율","대비율","기준일자","총공기","경과일","D-Day","도급액(억원)","사업비(억원)","공사기간","공사위치","위도","경도","발주처 담당자명","책임감리원 명","현장대리인 명","발주처 기관명","감리사 업체명","시공사 업체명","사업규모","웹카메라 RTSP 주소","계약정보 링크주소","집행정보 링크주소","조감도 이미지 링크주소","공사개요 웹페이지","자치구코드","자치구명"
"3502024051794","2024년 은평구 관내 상수도공사 (장기1차-단가계약)","1","진행    ","0","0","0","","365","356","9","10.87","10.8714674","2024-07-01~2025-06-30","서울 은평구 은평로 195","37.60281743572421","126.92893871656369","강철운","이선재(건설사업관리자)","최병진(시공자(공무?공사))","서울아리수본부","주식회사 천일","인웅공영(주)","은평구 관내 상수도공사 D15~300mm, L=1286m","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=3502024051794","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=3502024051794","22","은평구"
"3502024052299","아차산배수지(1지)내부 방식공사(장기1차)","1","진행    ","0","0","0","","506","377","129","24.56","24.563932","2024-06-10~2025-10-28","서울 광진구 천호대로 731","37.5484155461942","127.09627883605299","이준범","","이경수(현장대리인)","서울아리수본부","","에스테크건설 주식회사"," 도막식 방식 10,880m^2, 패널식 방식 3,898m^2","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=3502024052299","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=3502024052299","06","광진구"
"7042023032368","강서센터 소규모주택 시설물 유지보수공사","0","준공","100","100","100","","761","761","0","13.34","13.34318917","2023-04-01~2025-04-30","서울 강서구 초록마을로34길 61","37.5384203388022","126.844978758061","정창환","","이형기(공무직)","서울주택도시공사","","(주)미화","강서구 매입임대주택 시설물 유지보수공사 1,000세대 이상","","","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7042023032368","04","강서구"
"7042023032377","성북강북-2 임대아파트 시설물 유지보수공사","0","준공","100","100","100","","761","761","0","34.3","34.3","2023-04-01~2025-04-30","서울 강북구 도봉로 358","37.63913461931188","127.02747302780966","장태영","","전관헌(공무직)","서울주택도시공사","","주식회사 에이치앤씨건축","성북구, 강북구 임대아파트 시설물 보수","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7042023032377","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7042023032377","03","강북구"
"6232023122999","일원-1 소구역 하수관로 정비사업(장기계속)","1","진행    ","0","0","0","","870","489","381","85.4","85.4","2024-02-19~2026-07-07","서울 강남구 개포로","37.492100465838384","127.07471043752757","김태호","","김상길(현장대리인)","강남구","","주식회사 효승종합개발","하수관로 정비 L=6.02km(D300mm~D1,200mm)","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6232023122999","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6232023122999","01","강남구"
"7022025050297","2025년 노량대교 보수공사","1","진행    ","0","0","0","","396","39","357","27.3","27.3","2025-05-14~2026-06-13","서울 동작구 노량진로 220","37.50982647273702","126.96533575033324","이승룡","","유의종(현장대리인)","서울시설공단","","유한회사 보승건설","구스 아스팔트 포설(야간) 13,390m2, 아스팔트콘크리트 포장 12964m2, 상판보수 351m2, 콘크리...","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7022025050297","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7022025050297","12","동작구"
"7042025032882","노원도봉센터-노원4 임대주택 시설물 유지보수공사","1","진행    ","0","0","0","","760","82","678","36","35.9951039","2025-04-01~2027-04-30","서울 노원구 덕릉로 688, 5층","37.65895505258645","127.07559130155519","이대의","","이성이(공무직)","서울주택도시공사","","주식회사 더에이알티","노원구 관내  임대주택 시설물 유지보수공사","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7042025032882","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7042025032882","09","노원구"
"6102024051397","방학-4 소구역 하수관로 정비공사(2권역,장기계속)","1","진행    ","0","0","0","","457","401","56","23.4","23.397223","2024-05-17~2025-08-16","방학역 일대","37.66621748504009","127.044461538564","박인선","서영석(책임건설사업관리자)","김병순(공무직)","도봉구","주식회사 제일엔지니어링종합건축사사무소","태오건설(주)","D 300~1200mm 2.0km","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=6102024051397","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=6102024051397","10","도봉구"
"7042023032363","은평서대문종로-2 임대아파트 시설물 유지보수공사","0","준공","100","100","100","","761","761","0","44.1","44.1","2023-04-01~2025-04-30","서울 은평구 진관2로 15-34","37.63746304640221","126.9190488406597","최영근","","황현섭(공무직)","서울주택도시공사","","주식회사 미진이엔씨","은평구,서대문구,종로구 임대아파트 시설물 유지보수 공사","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7042023032363","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7042023032363","22","은평구"
"7042025021799","빈집활용사업(초행지붕-시흥2) 정보통신공사","1","진행    ","0","0","0","","268","125","143","0.95","0.9502945","2025-02-17~2025-11-11","","37.4533132500752","126.91099132649","이종현","","","서울주택도시공사","","","-","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info2&pjt_cd=7042025021799","","","https://cis.seoul.go.kr/TotalAlimi_new/PopInfo.action?cmd=info1&pjt_cd=7042025021799","08","금천구"
